,header,line,caption,tag,normed,,
18,p012a1,ser gordo,1.2. Características físicas,CERE::a1::p012,a ser gordo,1.2. Physical characteristics --- To be fat, To be fat
19,p012a1,ser bajo,1.2. Características físicas,CERE::a1::p012,a ser bajo,1.2. Physical characteristics --- to be low, to be low
20,p012a1,ser alto,1.2. Características físicas,CERE::a1::p012,a ser alto,1.2. Physical characteristics --- to be high, to be high
21,p012a1,tener los ojos grandes,1.2. Características físicas,CERE::a1::p012,a tener los ojos grandes,1.2. Physical characteristics --- To have big eyes, To have big eyes
22,p012a1,tener los ojos pequeños,1.2. Características físicas,CERE::a1::p012,a tener los ojos pequeños,1.2. Physical characteristics --- To have small eyes, To have small eyes
23,p012a1,tener los ojos negros,1.2. Características físicas,CERE::a1::p012,a tener los ojos negros,1.2. Physical characteristics --- To have black eyes, To have black eyes
24,p012a1,tener los ojos marrones,1.2. Características físicas,CERE::a1::p012,a tener los ojos marrones,1.2. Physical characteristics --- To have brown eyes, To have brown eyes
25,p013a1,levantarse,1.3. Acciones y posiciones que se realizan con el cuerpo,CERE::a1::p013,a levantarse,1.3. Actions and positions that are carried out with the body --- to get up, to get up
26,p013a1,ducharse,1.3. Acciones y posiciones que se realizan con el cuerpo,CERE::a1::p013,a ducharse,1.3. Actions and positions that are carried out with the body --- to shower, to shower
27,p013a1,escuchar,1.3. Acciones y posiciones que se realizan con el cuerpo,CERE::a1::p013,a escuchar,1.3. Actions and positions that are carried out with the body --- to listen, to listen
28,p021a1,alegre,2.1. Carácter y personalidad,CERE::a1::p021,alegre,2.1. Character and personality --- cheerful, cheerful
29,p021a1,sociable,2.1. Carácter y personalidad,CERE::a1::p021,sociable,2.1. Character and personality --- sociable, sociable
30,p021a1,tímido,2.1. Carácter y personalidad,CERE::a1::p021,tímido,2.1. Character and personality --- shy, shy
31,p021a1,simpático,2.1. Carácter y personalidad,CERE::a1::p021,simpático,2.1. Character and personality --- sympathetic, sympathetic
32,p021a1,antipático,2.1. Carácter y personalidad,CERE::a1::p021,antipático,2.1. Character and personality ---,#VALUE!
33,p021a1,inteligente,2.1. Carácter y personalidad,CERE::a1::p021,inteligente,2.1. Character and personality --- intelligent, intelligent
34,p021a1,trabajador,2.1. Carácter y personalidad,CERE::a1::p021,trabajador,2.1. Character and personality --- worker, worker
35,p021a1,serio,2.1. Carácter y personalidad,CERE::a1::p021,serio,2.1. Character and personality --- serious, serious
36,p031a1,(primer) apellido,3.1. Datos personales,CERE::a1::p031,(primer) apellido,3.1. Personal data --- (first) surname, (first) surname
37,p031a1,(segundo) apellido,3.1. Datos personales,CERE::a1::p031,(segundo) apellido,3.1. Personal data --- (second) surname, (second) surname
38,p031a1,señor,3.1. Datos personales,CERE::a1::p031,señor,3.1. Personal data --- Lord, Lord
39,p031a1,señora,3.1. Datos personales,CERE::a1::p031,señora,3.1. Personal data --- Mrs., Mrs.
40,p031a1,señores,3.1. Datos personales,CERE::a1::p031,señores,3.1. Personal data --- Gentlemen, Gentlemen
41,p031a1,firmar,3.1. Datos personales,CERE::a1::p031,a firmar,3.1. Personal data --- To sign, To sign
42,p031a1,nombre,3.1. Datos personales,CERE::a1::p031,nombre,3.1. Personal data --- Name, Name
43,p031a1,llamarse,3.1. Datos personales,CERE::a1::p031,a llamarse,3.1. Personal data --- To be called, To be called
44,p032a1,carné de conducir,3.2. Documentación,CERE::a1::p032,carné de conducir,3.2. Documentation --- Driving card, Driving card
45,p032a1,carné de identidad,3.2. Documentación,CERE::a1::p032,carné de identidad,3.2. Documentation --- identity card, identity card
46,p032a1,pasaporte,3.2. Documentación,CERE::a1::p032,pasaporte,3.2. Documentation --- Passport, Passport
47,p033a1,llaves,3.3. Objetos personales,CERE::a1::p033,llaves,3.3. Personal objects --- keys, keys
48,p033a1,cartera,3.3. Objetos personales,CERE::a1::p033,cartera,3.3. Personal objects --- portfolio, portfolio
49,p033a1,bolso,3.3. Objetos personales,CERE::a1::p033,bolso,3.3. Personal objects --- Bag, Bag
50,p033a1,maleta,3.3. Objetos personales,CERE::a1::p033,maleta,3.3. Personal objects --- suitcase, suitcase
51,p033a1,reloj,3.3. Objetos personales,CERE::a1::p033,reloj,3.3. Personal objects --- clock, clock
52,p033a1,móvil,3.3. Objetos personales,CERE::a1::p033,móvil,3.3. Personal Objects --- Mobile, Mobile
53,p033a1,tarjeta de crédito,3.3. Objetos personales,CERE::a1::p033,tarjeta de crédito,3.3. Personal objects --- credit card, credit card
54,p033a1,ordenador,3.3. Objetos personales,CERE::a1::p033,ordenador,3.3. Personal objects --- computer, computer
55,p033a1,gafas,3.3. Objetos personales,CERE::a1::p033,gafas,3.3. Personal objects --- glasses, glasses
56,p041a1,madre,4.1. Relaciones familiares,CERE::a1::p041,madre,4.1. Family Relations --- Mother, Mother
57,p041a1,hermano,4.1. Relaciones familiares,CERE::a1::p041,hermano,4.1. Family Relations --- Brother, Brother
58,p041a1,tío,4.1. Relaciones familiares,CERE::a1::p041,tío,4.1. Family Relations --- Uncle, Uncle
59,p041a1,sobrino,4.1. Relaciones familiares,CERE::a1::p041,sobrino,4.1. Family relationships --- nephew, nephew
60,p041a1,abuelo,4.1. Relaciones familiares,CERE::a1::p041,abuelo,4.1. Family Relations --- grandfather, grandfather
61,p041a1,nieto,4.1. Relaciones familiares,CERE::a1::p041,nieto,4.1. Family Relations --- Nieto, Nieto
62,p041a1,primo,4.1. Relaciones familiares,CERE::a1::p041,primo,4.1. Family Relations --- Primo, Primo
63,p041a1,marido,4.1. Relaciones familiares,CERE::a1::p041,marido,4.1. Family relationships --- Husband, Husband
64,p041a1,mujer,4.1. Relaciones familiares,CERE::a1::p041,a mujer,4.1. Family relationships --- Women, Women
65,p041a1,pareja,4.1. Relaciones familiares,CERE::a1::p041,pareja,4.1. Family relationships --- couple, couple
66,p041a1,novio,4.1. Relaciones familiares,CERE::a1::p041,novio,4.1. Family Relations --- Boyfriend, Boyfriend
67,p041a1,familia,4.1. Relaciones familiares,CERE::a1::p041,familia,4.1. Family relationships --- Family, Family
68,p041a1,hijo,4.1. Relaciones familiares,CERE::a1::p041,hijo,4.1. Family Relations --- Son, Son
69,p041a1,padres,4.1. Relaciones familiares,CERE::a1::p041,padres,4.1. Family relationships --- Parents, Parents
70,p041a1,padre,4.1. Relaciones familiares,CERE::a1::p041,padre,4.1. Family Relations --- Father, Father
71,p042a1,amigo,4.2. Relaciones sociales,CERE::a1::p042,amigo,4.2. Social Relations --- Friend, Friend
72,p042a1,jefe,4.2. Relaciones sociales,CERE::a1::p042,jefe,4.2. Social Relations --- Chief, Chief
73,p042a1,compañero,4.2. Relaciones sociales,CERE::a1::p042,compañero,4.2. Social Relations --- Companion, Companion
74,p043a1,fiesta,"4.3. Celebraciones y actos familiares, sociales y religiosos",CERE::a1::p043,fiesta,"4.3. Family, social and religious celebrations and acts --- Fiesta", Fiesta
75,p051a1,cena,5.1. Dieta y nutrición,CERE::a1::p051,cena,5.1. Diet and Nutrition --- Supper, Supper
76,p051a1,comida,5.1. Dieta y nutrición,CERE::a1::p051,comida,5.1. Diet and Nutrition --- Food, Food
77,p051a1,merienda,5.1. Dieta y nutrición,CERE::a1::p051,merienda,5.1. Diet and Nutrition --- Snack, Snack
78,p051a1,desayunar,5.1. Dieta y nutrición,CERE::a1::p051,a desayunar,5.1. Diet and Nutrition --- To breakfast, To breakfast
79,p051a1,comer,5.1. Dieta y nutrición,CERE::a1::p051,a comer,5.1. Diet and Nutrition --- To eat, To eat
80,p051a1,merendar,5.1. Dieta y nutrición,CERE::a1::p051,a merendar,5.1. Diet and nutrition --- To snack, To snack
81,p051a1,cenar,5.1. Dieta y nutrición,CERE::a1::p051,a cenar,5.1. Diet and nutrition --- to dinner, to dinner
82,p051a1,desayuno,5.1. Dieta y nutrición,CERE::a1::p051,desayuno,5.1. Diet and Nutrition --- Breakfast, Breakfast
83,p052a1,beber,5.2. Bebida,CERE::a1::p052,a beber,5.2. Drink --- To drink, To drink
84,p052a1,vino tinto,5.2. Bebida,CERE::a1::p052,vino tinto,5.2. Drink --- Red Wine, Red Wine
85,p052a1,vino blanco,5.2. Bebida,CERE::a1::p052,vino blanco,5.2. Drink --- White wine, White wine
86,p052a1,cerveza,5.2. Bebida,CERE::a1::p052,cerveza,5.2. Drink --- Beer, Beer
87,p052a1,café cortado,5.2. Bebida,CERE::a1::p052,café cortado,5.2. Drink --- Corted coffee, Corted coffee
88,p052a1,café con leche,5.2. Bebida,CERE::a1::p052,café con leche,5.2. Drink --- Coffee with milk, Coffee with milk
89,p052a1,té,5.2. Bebida,CERE::a1::p052,té,5.2. Drink --- Tea, Tea
90,p052a1,leche,5.2. Bebida,CERE::a1::p052,leche,5.2. Drink --- Milk, Milk
91,p052a1,agua (mineral) sin gas,5.2. Bebida,CERE::a1::p052,agua (mineral) sin gas,5.2. Drink --- Water (mineral) without gas, Water (mineral) without gas
92,p052a1,agua (mineral) con gas,5.2. Bebida,CERE::a1::p052,agua (mineral) con gas,5.2. Drink --- Water (mineral) with gas, Water (mineral) with gas
93,p052a1,café solo,5.2. Bebida,CERE::a1::p052,café solo,5.2. Drink --- Coffee alone, Coffee alone
94,p053a1,sándwich,5.3. Alimentos,CERE::a1::p053,sándwich,5.3. Food --- sandwich, sandwich
95,p053a1,hamburguesa,5.3. Alimentos,CERE::a1::p053,hamburguesa,5.3. Food --- hamburger, hamburger
96,p053a1,bocadillo,5.3. Alimentos,CERE::a1::p053,bocadillo,5.3. FOODS --- Split, Split
97,p053a1,pan,5.3. Alimentos,CERE::a1::p053,pan,5.3. Food --- bread, bread
98,p053a1,huevos,5.3. Alimentos,CERE::a1::p053,huevos,5.3. Food --- Eggs, Eggs
99,p053a1,leche,5.3. Alimentos,CERE::a1::p053,leche,5.3. Food --- Milk, Milk
100,p053a1,verdura,5.3. Alimentos,CERE::a1::p053,verdura,5.3. Food --- vegetable, vegetable
101,p053a1,fruta,5.3. Alimentos,CERE::a1::p053,fruta,5.3. Food --- Fruit, Fruit
102,p053a1,pescado,5.3. Alimentos,CERE::a1::p053,pescado,5.3. Food --- Fish, Fish
103,p053a1,carne,5.3. Alimentos,CERE::a1::p053,carne,5.3. Food --- Meat, Meat
104,p055a1,tortilla,5.5. Platos,CERE::a1::p055,tortilla,5.5. Dishes --- tortilla, tortilla
105,p055a1,primer plato,5.5. Platos,CERE::a1::p055,a primer plato,5.5. Dishes --- First course, First course
106,p055a1,segundo plato,5.5. Platos,CERE::a1::p055,segundo plato,5.5. Dishes --- Second Plato, Second Plato
107,p055a1,postre,5.5. Platos,CERE::a1::p055,postre,5.5. Dishes --- dessert, dessert
108,p055a1,sopa,5.5. Platos,CERE::a1::p055,sopa,5.5. Dishes --- Soup, Soup
109,p055a1,ensalada,5.5. Platos,CERE::a1::p055,ensalada,5.5. Dishes --- Salad, Salad
110,p055a1,paella,5.5. Platos,CERE::a1::p055,paella,5.5. Dishes --- Paella, Paella
111,p057a1,postre,5.7. Restaurante,CERE::a1::p057,postre,5.7. Restaurant --- dessert, dessert
112,p057a1,segundo plato,5.7. Restaurante,CERE::a1::p057,segundo plato,5.7. Restaurant --- Second Plato, Second Plato
113,p057a1,primer plato,5.7. Restaurante,CERE::a1::p057,a primer plato,5.7. Restaurant --- First course, First course
114,p057a1,mesa,5.7. Restaurante,CERE::a1::p057,mesa,5.7. Restaurant --- Table, Table
115,p057a1,camarero,5.7. Restaurante,CERE::a1::p057,camarero,5.7. Restaurant --- waiter, waiter
116,p057a1,restaurante,5.7. Restaurante,CERE::a1::p057,restaurante,5.7. Restaurant --- Restaurant, Restaurant
117,p057a1,el menú,5.7. Restaurante,CERE::a1::p057,el menú,5.7. Restaurant --- The menu, The menu
118,p057a1,la cuenta,5.7. Restaurante,CERE::a1::p057,la cuenta,5.7. Restaurant --- The account, The account
119,p057a1,bar,5.7. Restaurante,CERE::a1::p057,a bar,5.7. Restaurant --- A bar, A bar
120,p061a1,clase,6.1. Centros e instituciones educativas,CERE::a1::p061,clase,6.1. Educational centers and institutions --- class, class
121,p061a1,universidad,6.1. Centros e instituciones educativas,CERE::a1::p061,universidad,6.1. Educational centers and institutions --- University, University
122,p061a1,instituto,6.1. Centros e instituciones educativas,CERE::a1::p061,instituto,6.1. Educational centers and institutions --- Institute, Institute
123,p061a1,biblioteca,6.1. Centros e instituciones educativas,CERE::a1::p061,biblioteca,6.1. Educational centers and institutions --- library, library
124,p062a1,profesor,6.2. Profesorado y alumnado,CERE::a1::p062,profesor,6.2. Teachers and students --- Professor, Professor
125,p062a1,estudiante,6.2. Profesorado y alumnado,CERE::a1::p062,estudiante,6.2. Teachers and students --- Student, Student
126,p062a1,director,6.2. Profesorado y alumnado,CERE::a1::p062,director,6.2. Teachers and students --- Director, Director
127,p062a1,compañero,6.2. Profesorado y alumnado,CERE::a1::p062,compañero,6.2. Teachers and Students --- Companion, Companion
128,p063a1,horario,6.3. Sistema educativo,CERE::a1::p063,horario,6.3. Educational System --- Hours, Hours
129,p063a1,clase de español,6.3. Sistema educativo,CERE::a1::p063,clase de español,6.3. Educational System --- Spanish class, Spanish class
130,p063a1,clase de matemáticas,6.3. Sistema educativo,CERE::a1::p063,clase de matemáticas,6.3. Educational System --- Mathematics class, Mathematics class
131,p063a1,clase de historia,6.3. Sistema educativo,CERE::a1::p063,clase de historia,6.3. Educational System --- History class, History class
132,p063a1,examen,6.3. Sistema educativo,CERE::a1::p063,examen,6.3. Educational System --- Exam, Exam
133,p064a1,aprender,6.4. Aprendizaje y enseñanza,CERE::a1::p064,a aprender,6.4. Learning and Teaching --- To learn, To learn
134,p064a1,estudiar,6.4. Aprendizaje y enseñanza,CERE::a1::p064,a estudiar,6.4. Learning and Teaching --- To study, To study
135,p064a1,ir a clase,6.4. Aprendizaje y enseñanza,CERE::a1::p064,a ir a clase,6.4. Learning and Teaching --- To go to class, To go to class
136,p065a1,hacer un examen,6.5. Exámenes y calificaciones,CERE::a1::p065,a hacer un examen,6.5. Exams and qualifications --- To take an exam, To take an exam
137,p065a1,tener un examen,6.5. Exámenes y calificaciones,CERE::a1::p065,a tener un examen,6.5. Exams and qualifications --- To have an exam, To have an exam
138,p067a1,página,6.7. Lenguaje de aula,CERE::a1::p067,página,6.7. Classroom Language --- Page, Page
139,p067a1,unidad,6.7. Lenguaje de aula,CERE::a1::p067,unidad,6.7. Classroom Language --- Unit, Unit
140,p067a1,lección,6.7. Lenguaje de aula,CERE::a1::p067,lección,6.7. Classroom Language --- Lesson, Lesson
141,p067a1,estudiar,6.7. Lenguaje de aula,CERE::a1::p067,a estudiar,6.7. Classroom Language --- To study, To study
142,p067a1,repetir,6.7. Lenguaje de aula,CERE::a1::p067,a repetir,6.7. Classroom Language --- To repeat, To repeat
143,p067a1,practicar,6.7. Lenguaje de aula,CERE::a1::p067,a practicar,6.7. Classroom Language --- To practice, To practice
144,p067a1,hacer los deberes,6.7. Lenguaje de aula,CERE::a1::p067,a hacer los deberes,6.7. Classroom Language --- To do homework, To do homework
145,p067a1,hacer un ejercicio,6.7. Lenguaje de aula,CERE::a1::p067,a hacer un ejercicio,6.7. Classroom Language --- To do an exercise, To do an exercise
146,p067a1,hacer una actividad,6.7. Lenguaje de aula,CERE::a1::p067,a hacer una actividad,6.7. Classroom Language --- To do an activity, To do an activity
147,p067a1,hacer un examen,6.7. Lenguaje de aula,CERE::a1::p067,a hacer un examen,6.7. Classroom Language --- To do an exam, To do an exam
148,p067a1,comprender,6.7. Lenguaje de aula,CERE::a1::p067,a comprender,6.7. Classroom Language --- To understand, To understand
149,p067a1,entender,6.7. Lenguaje de aula,CERE::a1::p067,a entender,6.7. Classroom Language --- To understand, To understand
150,p067a1,escribir,6.7. Lenguaje de aula,CERE::a1::p067,a escribir,6.7. Classroom Language --- To write, To write
151,p067a1,leer,6.7. Lenguaje de aula,CERE::a1::p067,a leer,6.7. Classroom Language --- To read, To read
152,p067a1,escuchar,6.7. Lenguaje de aula,CERE::a1::p067,a escuchar,6.7. Classroom Language --- To listen, To listen
153,p067a1,hablar,6.7. Lenguaje de aula,CERE::a1::p067,a hablar,6.7. Classroom Language --- To speak, To speak
154,p067a1,en grupos,6.7. Lenguaje de aula,CERE::a1::p067,en grupos,6.7. Classroom Language --- In groups, In groups
155,p067a1,en parejas,6.7. Lenguaje de aula,CERE::a1::p067,en parejas,6.7. Classroom Language --- In pairs, In pairs
156,p067a1,compañero,6.7. Lenguaje de aula,CERE::a1::p067,compañero,6.7. Classroom Language --- Companion, Companion
157,p067a1,profesor,6.7. Lenguaje de aula,CERE::a1::p067,profesor,6.7. Classroom Language --- Professor, Professor
158,p067a1,ejercicio,6.7. Lenguaje de aula,CERE::a1::p067,ejercicio,6.7. Classroom Language --- Exercise, Exercise
159,p067a1,actividad,6.7. Lenguaje de aula,CERE::a1::p067,actividad,6.7. Classroom Language --- Activity, Activity
160,p067a1,pregunta,6.7. Lenguaje de aula,CERE::a1::p067,pregunta,6.7. Classroom Language --- Question, Question
161,p067a1,aprender,6.7. Lenguaje de aula,CERE::a1::p067,a aprender,6.7. Classroom Language --- To learn, To learn
162,p067a1,saber,6.7. Lenguaje de aula,CERE::a1::p067,a saber,6.7. Classroom language --- namely, namely
163,p068a1,Internet,6.8. Material educativo y mobiliario de aula,CERE::a1::p068,Internet,6.8. Educational material and classroom furniture --- Internet, Internet
164,p068a1,libro,6.8. Material educativo y mobiliario de aula,CERE::a1::p068,libro,6.8. Educational material and classroom furniture --- book, book
165,p068a1,silla,6.8. Material educativo y mobiliario de aula,CERE::a1::p068,silla,6.8. Classroom educational and furniture material --- chair, chair
166,p068a1,diccionario,6.8. Material educativo y mobiliario de aula,CERE::a1::p068,diccionario,6.8. Classroom educational and furniture material --- Dictionary, Dictionary
167,p068a1,papel,6.8. Material educativo y mobiliario de aula,CERE::a1::p068,papel,6.8. Classroom educational and furniture material --- paper, paper
168,p068a1,mapa,6.8. Material educativo y mobiliario de aula,CERE::a1::p068,mapa,6.8. Educational material and classroom furniture --- map, map
169,p068a1,ordenador,6.8. Material educativo y mobiliario de aula,CERE::a1::p068,ordenador,6.8. Classroom educational and furniture material --- computer, computer
170,p068a1,pizarra,6.8. Material educativo y mobiliario de aula,CERE::a1::p068,pizarra,6.8. Educational material and classroom furniture --- slate, slate
171,p068a1,estantería,6.8. Material educativo y mobiliario de aula,CERE::a1::p068,estantería,6.8. Educational material and classroom furniture --- shelf, shelf
172,p068a1,armario,6.8. Material educativo y mobiliario de aula,CERE::a1::p068,armario,6.8. Educational material and classroom furniture --- closet, closet
173,p068a1,bolígrafo,6.8. Material educativo y mobiliario de aula,CERE::a1::p068,bolígrafo,6.8. Classroom educational and furniture material --- Pen, Pen
174,p068a1,mesa,6.8. Material educativo y mobiliario de aula,CERE::a1::p068,mesa,6.8. Classroom educational and furniture material --- Table, Table
175,p068a1,fotocopia,6.8. Material educativo y mobiliario de aula,CERE::a1::p068,fotocopia,6.8. Educational material and classroom furniture --- photocopy, photocopy
176,p068a1,goma,6.8. Material educativo y mobiliario de aula,CERE::a1::p068,goma,6.8. Educational material and classroom furniture --- rubber, rubber
177,p068a1,lápiz,6.8. Material educativo y mobiliario de aula,CERE::a1::p068,lápiz,6.8. Classroom educational material and furniture --- pencil, pencil
178,p071a1,taxista,7.1. Profesiones y cargos,CERE::a1::p071,taxista,7.1. Professions and positions --- Taxiista, Taxiista
179,p071a1,trabajar (en),7.1. Profesiones y cargos,CERE::a1::p071,a trabajar (en),7.1. Professions and positions --- To work (in), To work (in)
180,p071a1,profesor,7.1. Profesiones y cargos,CERE::a1::p071,profesor,7.1. Professions and positions --- Professor, Professor
181,p071a1,ser ingeniero,7.1. Profesiones y cargos,CERE::a1::p071,a ser ingeniero,7.1. Professions and positions --- To be an engineer, To be an engineer
182,p071a1,ser camarero,7.1. Profesiones y cargos,CERE::a1::p071,a ser camarero,7.1. Professions and positions --- To be a waiter, To be a waiter
183,p071a1,dedicarse a,7.1. Profesiones y cargos,CERE::a1::p071,a dedicarse a,7.1. Professions and positions --- to devote to, to devote to
184,p071a1,jefe,7.1. Profesiones y cargos,CERE::a1::p071,jefe,7.1. Professions and positions --- Chief, Chief
185,p071a1,director,7.1. Profesiones y cargos,CERE::a1::p071,director,7.1. Professions and positions --- Director, Director
186,p071a1,médico,7.1. Profesiones y cargos,CERE::a1::p071,médico,7.1. Professions and positions --- Doctor, Doctor
187,p071a1,ama de casa,7.1. Profesiones y cargos,CERE::a1::p071,ama de casa,7.1. Professions and positions --- housewife, housewife
188,p071a1,abogado,7.1. Profesiones y cargos,CERE::a1::p071,abogado,7.1. Professions and positions --- Lawyer, Lawyer
189,p072a1,Lugares de trabajo,"7.2. Lugares, herramientas y ropa de trabajo",CERE::a1::p072,Lugares de trabajo,"7.2. Places, tools and work clothes --- workplaces", workplaces
190,p072a1,fax,"7.2. Lugares, herramientas y ropa de trabajo",CERE::a1::p072,fax,"7.2. Places, tools and work clothes --- fax", fax
191,p072a1,teléfono,"7.2. Lugares, herramientas y ropa de trabajo",CERE::a1::p072,teléfono,"7.2. Places, tools and work clothes --- Telephone", Telephone
192,p072a1,ordenador,"7.2. Lugares, herramientas y ropa de trabajo",CERE::a1::p072,ordenador,"7.2. Places, tools and work clothes --- computer", computer
193,p072a1,Internet,"7.2. Lugares, herramientas y ropa de trabajo",CERE::a1::p072,Internet,"7.2. Places, tools and work clothes --- Internet", Internet
194,p072a1,fax,"7.2. Lugares, herramientas y ropa de trabajo",CERE::a1::p072,fax,"7.2. Places, tools and work clothes --- fax", fax
195,p072a1,ordenador,"7.2. Lugares, herramientas y ropa de trabajo",CERE::a1::p072,ordenador,"7.2. Places, tools and work clothes --- computer", computer
196,p072a1,teléfono,"7.2. Lugares, herramientas y ropa de trabajo",CERE::a1::p072,teléfono,"7.2. Places, tools and work clothes --- Telephone", Telephone
197,p072a1,Herramientas de un auxiliar administrativo,"7.2. Lugares, herramientas y ropa de trabajo",CERE::a1::p072,Herramientas de un auxiliar administrativo,"7.2. Places, tools and work clothes --- Tools of an administrative assistant", Tools of an administrative assistant
198,p072a1,tienda,"7.2. Lugares, herramientas y ropa de trabajo",CERE::a1::p072,tienda,"7.2. Places, tools and work clothes --- store", store
199,p072a1,oficina,"7.2. Lugares, herramientas y ropa de trabajo",CERE::a1::p072,oficina,"7.2. Places, tools and work clothes --- office", office
200,p072a1,empresa,"7.2. Lugares, herramientas y ropa de trabajo",CERE::a1::p072,empresa,"7.2. Places, tools and work clothes --- Company", Company
201,p072a1,tienda,"7.2. Lugares, herramientas y ropa de trabajo",CERE::a1::p072,tienda,"7.2. Places, tools and work clothes --- store", store
202,p072a1,oficina,"7.2. Lugares, herramientas y ropa de trabajo",CERE::a1::p072,oficina,"7.2. Places, tools and work clothes --- office", office
203,p072a1,empresa,"7.2. Lugares, herramientas y ropa de trabajo",CERE::a1::p072,empresa,"7.2. Places, tools and work clothes --- Company", Company
204,p072a1,,"7.2. Lugares, herramientas y ropa de trabajo",CERE::a1::p072,,"7.2. Places, tools and work clothes ---",#VALUE!
205,p072a1,Internet,"7.2. Lugares, herramientas y ropa de trabajo",CERE::a1::p072,Internet,"7.2. Places, tools and work clothes --- Internet", Internet
206,p073a1,profesión,7.3. Actividad laboral,CERE::a1::p073,profesión,7.3. Work activity --- Profession, Profession
207,p073a1,vender,7.3. Actividad laboral,CERE::a1::p073,a vender,7.3. Work activity --- to sell, to sell
208,p073a1,comprar,7.3. Actividad laboral,CERE::a1::p073,a comprar,7.3. Work activity --- To buy, To buy
209,p073a1,dedicarse a,7.3. Actividad laboral,CERE::a1::p073,a dedicarse a,7.3. Work activity --- to devote to, to devote to
210,p073a1,trabajar,7.3. Actividad laboral,CERE::a1::p073,a trabajar,7.3. Work activity --- To work, To work
211,p073a1,trabajo,7.3. Actividad laboral,CERE::a1::p073,trabajo,7.3. Work activity --- work, work
212,p074a1,estar en paro,7.4. Desempleo y búsqueda de trabajo,CERE::a1::p074,a estar en paro,7.4. Unemployment and job search --- to be unemployed, to be unemployed
213,p074a1,tener trabajo,7.4. Desempleo y búsqueda de trabajo,CERE::a1::p074,a tener trabajo,7.4. Unemployment and job search --- to have a job, to have a job
214,p075a1,trabajo,7.5. Derechos y obligaciones laborales,CERE::a1::p075,trabajo,7.5. Labor rights and obligations --- work, work
215,p075a1,vacaciones,7.5. Derechos y obligaciones laborales,CERE::a1::p075,vacaciones,7.5. Labor Rights and Obligations --- Holidays, Holidays
216,p075a1,trabajar,7.5. Derechos y obligaciones laborales,CERE::a1::p075,a trabajar,7.5. Labor rights and obligations --- to work, to work
217,p075a1,tener vacaciones,7.5. Derechos y obligaciones laborales,CERE::a1::p075,a tener vacaciones,7.5. Labor rights and obligations --- to have vacations, to have vacations
218,p076a1,ser trabajador,7.6. Características de un trabajador,CERE::a1::p076,a ser trabajador,7.6. Characteristics of a worker --- to be a worker, to be a worker
219,p081a1,ver una película,8.1. Tiempo libre y entretenimiento,CERE::a1::p081,a ver una película,8.1. Free time and entertainment --- To watch a movie, To watch a movie
220,p081a1,ir al parque,8.1. Tiempo libre y entretenimiento,CERE::a1::p081,a ir al parque,8.1. Free time and entertainment --- To go to the park, To go to the park
221,p081a1,ir al teatro,8.1. Tiempo libre y entretenimiento,CERE::a1::p081,a ir al teatro,8.1. Free time and entertainment --- To go to the theater, To go to the theater
